Total network energy = 2.60e+09 pJ
Total network latency = 6.42e+06 cycles
         233503864 function calls (233190351 primitive calls) in 125.067 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1296/1    0.017    0.000  125.071  125.071 {built-in method builtins.exec}
        1    0.005    0.005  125.071  125.071 example.py:1(<module>)
        1    0.000    0.000  121.776  121.776 api.py:27(get_hardware_performance_zigzag)
        1    0.000    0.000  121.775  121.775 MainStage.py:16(run)
        2    0.000    0.000  121.775   60.888 WorkloadParserStage.py:31(run)
        2    0.000    0.000  121.447   60.723 AcceleratorParserStage.py:21(run)
        2    0.000    0.000  121.365   60.682 save_stages.py:78(run)
        2    0.000    0.000  121.364   60.682 save_stages.py:132(run)
        2    0.000    0.000  121.336   60.668 reduce_stages.py:137(run)
       32    0.001    0.000  121.331    3.792 WorkloadStage.py:32(run)
       62    0.001    0.000  121.322    1.957 VisualizationStage.py:29(run)
       62    0.002    0.000  116.905    1.886 save_stages.py:31(run)
   124/62    1.425    0.011  116.780    1.884 reduce_stages.py:30(run)
       62    0.001    0.000  116.778    1.884 SpatialMappingGeneratorStage.py:86(run)
       62    0.003    0.000  116.756    1.883 SpatialMappingConversionStage.py:52(run)
    18302    0.161    0.000  115.255    0.006 temporal_mapping_generator_stage.py:37(run)
    36542    0.085    0.000   82.518    0.002 CostModelStage.py:40(run)
    18271    0.170    0.000   82.318    0.005 cost_model.py:288(__init__)
    36542    0.612    0.000   57.665    0.002 Mapping.py:21(__init__)
    18302    0.015    0.000   32.440    0.002 temporal_mapping_generator_stage.py:48(generate_temporal_mappings)
    18300    0.147    0.000   32.422    0.002 LomaEngine.py:75(run)
    18271    0.176    0.000   30.595    0.002 MemoryAllocator.py:77(run)
    73084    1.262    0.000   25.059    0.000 MemoryAllocator.py:96(allocate_node)
    18271    0.061    0.000   24.429    0.001 cost_model.py:349(run)
    91417    4.249    0.000   21.307    0.000 mapping_assist_funcs.py:12(decouple_pr_loop)
    18271    0.079    0.000   16.347    0.001 cost_model.py:634(calc_latency)
    73084    0.131    0.000   14.604    0.000 MemoryAllocator.py:111(<dictcomp>)
   127897    0.953    0.000   14.456    0.000 MemoryAllocator.py:174(calc_size_slices)
    36542    0.338    0.000   13.944    0.000 Mapping.py:166(gen_r_ir_loop_list)
   488243    2.879    0.000   12.498    0.000 MemoryAllocator.py:213(calc_loops_size)
 81503816    8.803    0.000    8.803    0.000 datatypes.py:25(__hash__)
  6900927    1.761    0.000    8.600    0.000 {built-in method math.prod}
   488243    0.454    0.000    8.569    0.000 layer_node.py:243(calc_tensor_size)
    18271    2.528    0.000    8.349    0.000 cost_model.py:790(combine_data_transfer_rate_per_physical_port)
    73084    4.657    0.000    8.197    0.000 MemoryAllocator.py:234(find_best_loop_combination)
  1922323    3.131    0.000    8.095    0.000 layer_node.py:249(calc_tensor_dim)
 47476419    7.703    0.000    7.703    0.000 datatypes.py:22(__eq__)
   288857    0.285    0.000    6.693    0.000 utils.py:10(pickle_deepcopy)
      136    0.007    0.000    6.575    0.048 __init__.py:1(<module>)
  2176846    0.822    0.000    6.530    0.000 layer_node.py:247(<genexpr>)
