Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
90, 131072, 1, 2, 512, 1.47098, 1.86851, N/A, 0.303592, 0.615022, 63.7023, 2.24949, 2, 2, 1, 2, 2, 1, 78.3192, 2, 2, 4, 1, 8, 1, 77.9289, 
65, 4096, 1, 1, 512, 0.479137, 0.58261, N/A, 0.0704227, 0.0859279, 8.93266, 0.283728, 2, 2, 1, 2, 1, 1, 18.4548, 2, 2, 2, 1, 4, 1, 53.3422, 
65, 1024, 1, 1, 8, 0.550533, 0.401666, N/A, 0.00820059, 0.0097551, 12.1515, 0.0886446, 2, 2, 4, 8, 1, 1, 63.8828, 2, 2, 4, 1, 8, 1, 75.8861, 
65, 1024, 1, 1, 8, 0.389644, 0.316322, N/A, 0.00199548, 0.00186199, 1.98248, 0.0156673, 2, 2, 8, 16, 1, 1, 73.067, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 1024, 1, 1, 16, 0.389644, 0.316322, N/A, 0.00216182, 0.00262398, 1.96429, 0.0159789, 2, 2, 4, 8, 1, 1, 71.6423, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 1024, 1, 1, 16, 0.389644, 0.316322, N/A, 0.00216182, 0.00262398, 1.96429, 0.0159789, 2, 2, 1, 8, 1, 1, 71.6423, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 1024, 1, 1, 16, 0.389644, 0.316322, N/A, 0.00216182, 0.00262398, 1.96429, 0.0159789, 2, 2, 0.25, 8, 1, 1, 71.6423, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 1024, 1, 1, 20, 0.364191, 0.285221, N/A, 0.00240212, 0.00286193, 2.41062, 0.0177976, 2, 2, 0.3125, 8, 1, 1, 65.3264, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 1024, 1, 1, 28, 0.398654, 0.319209, N/A, 0.00237163, 0.00406691, 2.03019, 0.0166819, 2, 2, 0.21875, 4, 1, 1, 70.5293, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 1024, 1, 1, 32, 0.389644, 0.316322, N/A, 0.00251111, 0.00415177, 1.96159, 0.0165291, 2, 2, 0.25, 4, 1, 1, 69.2577, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 1024, 1, 1, 36, 0.385406, 0.318116, N/A, 0.00263011, 0.00428937, 1.93954, 0.0165766, 2, 2, 0.28125, 4, 1, 1, 70.0481, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 1024, 1, 1, 64, 0.389644, 0.316322, N/A, 0.00320321, 0.00721369, 1.96657, 0.0179301, 2, 2, 0.25, 2, 1, 1, 63.846, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 1024, 1, 1, 128, 0.356408, 0.293777, N/A, 0.00685175, 0.0107614, 2.3102, 0.0295259, 2, 2, 0.5, 2, 1, 1, 38.7716, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 1024, 1, 1, 256, 0.350808, 0.353865, N/A, 0.0196889, 0.0233969, 2.36035, 0.0687037, 2, 2, 1, 2, 1, 1, 16.6623, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 1024, 1, 1, 20, 0.364191, 0.285221, N/A, 0.00240212, 0.00286193, 2.41062, 0.0177976, 2, 2, 0.3125, 8, 1, 1, 65.3264, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 1024, 1, 1, 28, 0.398654, 0.319209, N/A, 0.00237163, 0.00406691, 2.03019, 0.0166819, 2, 2, 0.21875, 4, 1, 1, 70.5293, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 8192, 1, 1, 8, 0.543261, 0.472067, N/A, 0.00916519, 0.00464643, 16.5211, 0.122522, 2, 2, 1, 64, 1, 1, 74.7469, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 8192, 1, 1, 16, 0.543261, 0.472067, N/A, 0.0096474, 0.00632569, 16.2789, 0.121125, 2, 2, 1, 32, 1, 1, 75.6091, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 8192, 1, 1, 20, 0.506197, 0.489774, N/A, 0.0109871, 0.00761442, 16.0447, 0.122002, 2, 2, 1.25, 32, 1, 1, 75.5052, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 8192, 1, 1, 28, 0.558297, 0.472955, N/A, 0.00995563, 0.00904171, 16.398, 0.119785, 2, 2, 0.875, 16, 1, 1, 76.8279, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 8192, 1, 1, 32, 0.543261, 0.472067, N/A, 0.0106549, 0.00971452, 16.1735, 0.122687, 2, 2, 1, 16, 1, 1, 74.6464, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 8192, 1, 1, 36, 0.510234, 0.478955, N/A, 0.0116528, 0.0106933, 16.0244, 0.123248, 2, 2, 1.125, 16, 1, 1, 74.4513, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 8192, 1, 1, 64, 0.543261, 0.472067, N/A, 0.0126579, 0.0164929, 16.1587, 0.128324, 2, 2, 1, 8, 1, 1, 71.367, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 8192, 1, 1, 64, 0.543261, 0.472067, N/A, 0.0126579, 0.0164929, 16.1587, 0.128324, 2, 2, 1, 8, 1, 1, 71.367, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 8192, 1, 1, 128, 0.543261, 0.472067, N/A, 0.0166672, 0.0300529, 16.2016, 0.140213, 2, 2, 1, 4, 1, 1, 65.3159, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 8192, 1, 1, 256, 0.543261, 0.472067, N/A, 0.0246984, 0.0571856, 16.3304, 0.164902, 2, 2, 1, 2, 1, 1, 55.5369, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 16384, 1, 1, 8, 0.628336, 0.685065, N/A, 0.0176053, 0.00737074, 29.8698, 0.239097, 2, 2, 2, 128, 1, 1, 76.6059, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 16384, 1, 1, 16, 0.628336, 0.685065, N/A, 0.0185474, 0.00950988, 29.3814, 0.231311, 2, 2, 2, 64, 1, 1, 79.1844, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 16384, 1, 1, 20, 0.663378, 0.601433, N/A, 0.0165007, 0.00994772, 31.5316, 0.227734, 2, 2, 1.25, 32, 1, 1, 80.5067, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 16384, 1, 1, 28, 0.629703, 0.64471, N/A, 0.0190717, 0.0124293, 29.8544, 0.229979, 2, 2, 1.75, 32, 1, 1, 80.0318, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 16384, 1, 1, 32, 0.628336, 0.685065, N/A, 0.0204231, 0.0137668, 29.1654, 0.231661, 2, 2, 2, 32, 1, 1, 79.0649, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 16384, 1, 1, 36, 0.684566, 0.604031, N/A, 0.0172001, 0.0154518, 31.7476, 0.230852, 2, 2, 1.125, 16, 1, 1, 79.4969, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 16384, 1, 1, 64, 0.628336, 0.685065, N/A, 0.024192, 0.0223111, 29.1013, 0.240467, 2, 2, 2, 16, 1, 1, 76.1694, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 16384, 1, 1, 128, 0.717807, 0.614467, N/A, 0.0226991, 0.0497309, 32.0262, 0.249171, 2, 2, 1, 4, 1, 1, 73.5089, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 16384, 1, 1, 256, 0.717807, 0.614467, N/A, 0.0307303, 0.096108, 32.155, 0.273859, 2, 2, 1, 2, 1, 1, 66.882, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 131072, 1, 1, 8, 1.5656, 1.36154, N/A, 0.044401, 0.0226292, 216.321, 1.8343, 2, 8, 4, 64, 4, 1, 79.8833, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 131072, 1, 1, 16, 1.56268, 1.36154, N/A, 0.047657, 0.0269766, 215.435, 1.82148, 2, 8, 4, 32, 4, 1, 80.4456, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 131072, 1, 1, 32, 1.56575, 1.36154, N/A, 0.0543062, 0.0362184, 216.475, 1.91508, 2, 8, 4, 64, 1, 1, 76.5137, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 131072, 1, 1, 64, 1.41426, 1.50476, N/A, 0.0831721, 0.0570883, 214.598, 1.79753, 2, 4, 4, 32, 1, 1, 81.5174, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 131072, 1, 1, 128, 1.42012, 1.50476, N/A, 0.107727, 0.100816, 214.791, 1.93482, 2, 4, 4, 16, 1, 1, 75.733, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 131072, 1, 1, 256, 1.43319, 1.79972, N/A, 0.159075, 0.222701, 214.444, 1.77416, 2, 2, 4, 8, 1, 1, 82.591, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 524288, 1, 1, 8, 2.91914, 1.36154, N/A, 0.0777367, 0.0558282, 861.883, 7.17063, 4, 16, 8, 32, 8, 1, 81.739, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 524288, 1, 1, 8, 1.1028, 0.66424, N/A, 0.010949, 0.00853503, 194.117, 0.905012, 4, 32, 8, 32, 8, 1, 74.1909, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 524288, 1, 1, 8, 1.32388, 0.338671, N/A, 0.0179278, 0.0147408, 340.502, 1.37581, 8, 16, 8, 16, 8, 1, 79.0529, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 524288, 1, 1, 8, 2.91914, 1.36154, N/A, 0.0777367, 0.0558282, 861.883, 7.17063, 4, 16, 8, 32, 8, 1, 81.739, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 524288, 1, 1, 16, 2.91994, 1.36154, N/A, 0.0858167, 0.0651362, 861.741, 7.26755, 4, 16, 8, 32, 4, 1, 80.6489, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 524288, 1, 1, 32, 2.79118, 3.6591, N/A, 0.114341, 0.07298, 826.679, 7.30831, 2, 16, 8, 32, 4, 1, 80.1991, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 524288, 1, 1, 8, 1.32388, 0.338671, N/A, 0.0179278, 0.0147408, 340.502, 1.37581, 8, 16, 8, 16, 8, 1, 79.0529, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 524288, 1, 1, 32, 2.79118, 3.6591, N/A, 0.114341, 0.07298, 826.679, 7.30831, 2, 16, 8, 32, 4, 1, 80.1991, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
